"Name","L&G Fund Code","ISIN","Asset class","Style","ABI sector","Benchmark","Investment management charge","Additional expenses","Basic annual management charge","External funds annual management charge","Fund management charge","Fact sheet"
"L&G PMC Artemis Income 3","B1M3","GB00BD1FV127","Equity","Active","UK Equity Income","FTSE All-Share Index","0.7","0.05","0.7","","0.75","https://fundcentres.lgim.com/srp/documents-id/e85aeb18-e473-4183-9838-858838cdacdd/Fact-Sheet_Artemis-Income-Fund-LG-PMC-Artemis-Income-3.pdf,Fact sheet,English"
"L&G PMC Asia Pacific (ex Japan) Developed Equity Index Fund 3","NEF3","GB00B4WT1Y33","Equity","Passive","Asia Pacific excluding Japan Equities","FTSE Developed Asia Pacific ex Japan Index","0.140","0","0.140","","0.140","https://fundcentres.lgim.com/srp/documents-id/c30197ef-3de4-4281-82d6-b5c3b3e40eef/Fact-Sheet_Asia-Pacific-ex-Japan-Developed-Equity-Index-Fund-LG-PMC-Asia-Pacific-ex-Japan-Developed-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Asia Pacific (ex-Japan) Equity Index Fund 3","NEG3","GB00B4P7G503","Equity","Passive","Asia Pacific excluding Japan Equities","FTSE World Asia Pacific ex Japan Index","0.140","0","0.140","","0.140","https://fundcentres.lgim.com/srp/documents-id/4cd90b8a-513e-4951-bdf1-11ff4cf27cb3/Fact-Sheet_Asia-Pacific-ex-Japan-Equity-Index-Fund-LG-PMC-Asia-Pacific-ex-Japan-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC CT Responsible Global Equity Fund 3","B4M3","GB00BGYBV072","Equity","Active","Global Equities","","0.70","0.04","0.70","","0.74","https://fundcentres.lgim.com/srp/documents-id/893c5cc9-e347-42cb-a868-29401cf07056/Fact-Sheet_CT-Responsible-Global-Equity-Fund-LG-PMC-CT-Responsible-Global-Equity-Fund-3.pdf,Fact sheet,English"
"L&G PMC CT Responsible UK Income Fund 3","B5M3","GB00BGYBV296","Equity","Active","UK Equity Income","FTSE All-Share Index","0.70","0.05","0.70","","0.75","https://fundcentres.lgim.com/srp/documents-id/e8182153-6eb6-48c3-bac3-1b808c719028/Fact-Sheet_BMO-Responsible-UK-Income-Fund-LG-PMC-CT-Responsible-UK-Income-Fund-3.pdf,Fact sheet,English"
"L&G PMC BNY Mellon Global Income 3","B2O3","GB00BD1JRW77","Equity","Active","Global Equities","FTSE World Index","0.8","0.04","0.8","","0.84","https://fundcentres.lgim.com/srp/documents-id/c9003d05-a055-48e2-95a3-0815d3492102/Fact-Sheet_BNY-Mellon-Global-Income-Fund-LG-PMC-BNY-Mellon-Global-Income-3.pdf,Fact sheet,English"
"L&G PMC BNY Mellon Real Return Fund 3","BL43","GB00BGYBW591","Multi-asset","Active","Specialist","SONIA + 400 Bps","0.8000","0.19","0.8000","","0.99","https://fundcentres.lgim.com/srp/documents-id/6e0d7c4d-161a-4c93-916f-8ed298182bb6/Fact-Sheet_BNY-Mellon-Real-Return-Fund-LG-PMC-BNY-Mellon-Real-Return-Fund-3.pdf,Fact sheet,English"
"L&G PMC Cash Fund 3","EAB3","GB00B4VD0B60","Cash","Active","Deposit & Treasury","","0.090","0.00","0.090","","0.09","https://fundcentres.lgim.com/srp/documents-id/4fcf11e8-06bd-4bbd-bae6-e9a13a3ca851/Fact-Sheet_Legal-General-Cash-Trust-LG-PMC-Cash-Fund-3.pdf,Fact sheet,English"
"L&G PMC Consensus Index Fund 3","NBQ3","GB00B4NTQ921","Multi-asset","Passive","Mixed Investment 40-85% Shares","","0.100","0.01","0.100","","0.11","https://fundcentres.lgim.com/srp/documents-id/ef029c5f-1b28-48ba-acda-0d0184b76693/Fact-Sheet_LGIM-LGAS-Mixed-Investment-40-85-Shares-Fund-LG-PMC-Consensus-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Distribution Fund 3","B6N3","GB00BGYBTF88","Multi-asset","Active","Mixed Investment 20-60% Shares","","0.27","0.05","0.27","","0.32","https://fundcentres.lgim.com/srp/documents-id/4879b6ed-e066-4bf0-8947-0f0ca68a5c45/Fact-Sheet_LG-Pension-Distribution-Fund-LG-PMC-Distribution-Fund-3.pdf,Fact sheet,English"
"L&G PMC Diversified Fund 3","NWW3","GB00B8KLQD32","Multi-asset","Active","Mixed Investment 20-60% Shares","FTSE Developed World Index - 50% GBP Hedged","0.250","0.05","0.250","","0.3","https://fundcentres.lgim.com/srp/documents-id/fc12646e-e8ad-4ff1-bed5-4efb5d30a473/Fact-Sheet_Diversified-Fund-LG-PMC-Diversified-Fund-3.pdf,Fact sheet,English"
"L&G PMC Dynamic Diversified Fund 3","NXZ3","GB00BJVWR621","Multi-asset","Active","Flexible Investment","Bank of England base rate +4.5%","0.500","0.03","0.500","","0.53","https://fundcentres.lgim.com/srp/documents-id/57e78e77-f28e-4915-ac98-f78b32c81f6e/Fact-Sheet_Dynamic-Diversified-Fund-LG-PMC-Dynamic-Diversified-Fund-3.pdf,Fact sheet,English"
"L&G PMC Emerging Market US Government Bond 3","BCC3","BCC3","Fixed interest","Passive","Global High Yield","J.P. Morgan Emerging Markets Bond Index (EMBI) Global Diversified","0.22","0","0.22","","0.22","https://fundcentres.lgim.com/srp/documents-id/67763782-42a0-46f6-b5e3-3057a94d22d7/Fact-Sheet_Emerging-Market-Passive-US-Currency-Government-Bond-Fund-LG-PMC-Emerging-Market-US-Government-Bond-3.pdf,Fact sheet,English"
"L&G PMC Ethical Global Equity Index Fund 3","NEB3","GB00B4LNM547","Equity","Passive","Global Equities","FTSE 4Good Developed Index","0.300","0","0.300","","0.300","https://fundcentres.lgim.com/srp/documents-id/da7f8458-82ce-4f30-a633-9077947399a8/Fact-Sheet_FTSE4Good-Developed-Equity-Index-Fund-LG-PMC-Ethical-Global-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Ethical UK Equity Index Fund 3","NEA3","GB00B4SBDL43","Equity","Passive","UK All Companies","FTSE4Good UK Equity Index","0.200","0","0.200","","0.200","https://fundcentres.lgim.com/srp/documents-id/fdbd96ad-f418-4fc3-af6d-dd75a54242c6/Fact-Sheet_FTSE4Good-UK-Equity-Index-Fund-LG-PMC-Ethical-UK-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Europe (ex UK) Equity Index Fund 3","NBS3","GB00B4YKRJ18","Equity","Passive","Europe excluding UK Equities","FTSE Developed Europe ex UK Index","0.120","0","0.120","","0.120","https://fundcentres.lgim.com/srp/documents-id/de426966-9d7c-4c60-b33e-593797dad474/Fact-Sheet_Europe-ex-UK-Equity-Index-Fund-LG-PMC-Europe-ex-UK-Equity-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC FTSE Developed Core Infra Index Fund 3","BPR3","BPR3","Equity","Passive","Specialist","FTSE Developed Core Infrastructure Index","0.3","0","0.3","","0.3","https://fundcentres.lgim.com/srp/documents-id/64c11347-216b-481c-b9e6-18acc0e437ee/Fact-Sheet_FTSE-Developed-Core-Infrastructure-Index-Fund-LG-PMC-FTSE-Developed-Core-Infra-Index-Fund-3.pdf,Fact sheet,English"
"L&G PMC Far Eastern Fund 3","B0N3","GB00BGYBV411","Equity","Active","Asia Pacific including Japan Equities","","0.300","0","0.300","","0.3","https://fundcentres.lgim.com/srp/documents-id/23ac19d3-03f1-4430-b1bd-f9840abb4f98/Fact-Sheet_LG-Pension-Far-Eastern-Fund-LG-PMC-Far-Eastern-Fund-3.pdf,Fact sheet,English"
"L&G PMC Fixed Interest Fund 3","B9M3","GB00BGYBV742","Fixed interest","Active","Sterling Fixed Interest","FTSE Actuaries UK Conventional Gilts All Stocks Index","0.09","0.00","0.09","","0.09","https://fundcentres.lgim.com/srp/documents-id/74c5f2c9-9b03-485b-b668-50ee984f1374/Fact-Sheet_UK-Fixed-Interest-All-Stocks-Fund-LG-PMC-Fixed-Interest-Fund-3.pdf,Fact sheet,English"
